MMDD MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH AVGW MW DIR MIN PSBL S-S WX    SPD DR2
0714  86  69  78   6   0  13 0.00  0.0    0 10.3 24 300   M    M   4        30 300
0715  85  60  73   1   0   8 0.00  0.0    0  6.4 16 300   M    M   6        23 300
0716  92  60  76   4   0  11 0.02  0.0    0  5.5 18 190   M    M   5 3      23 200
0717  85  73  79   7   0  14 0.89  0.0    0  4.2 30 330   M    M   8 13     38 320
0718  80  70  75   3   0  10 0.01  0.0    0  4.7 10  10   M    M   9 1      13  10
0719  94  72  83  11   0  18 0.00  0.0    0  7.1 14 260   M    M   8        17 260
0720  95  72  84  12   0  19 0.06  0.0    0  5.7 31 330   M    M   7 3      44 330
0721  91  71  81   9   0  16 0.00  0.0    0  9.1 25 300   M    M   5        30 300
0722  74  66  70  -2   0   5 1.59  0.0    0  5.2 14  20   M    M   9 1      19  20
0723  79  65  72   0   0   7 0.48  0.0    0  5.1 15 330   M    M   8 1      18 340
0724  82  63  73   1   0   8 0.00  0.0    0  4.2 32 330   M    M   5        33 330
0725  85  59  72   0   0   7    T  0.0    0  2.9 20 340   M    M   3 13     25 350
0726  87  60  74   2   0   9 0.00  0.0    0  1.2  8 340   M    M   1 1      12 350
0727  88  61  75   3   0  10 0.00  0.0    0  4.4 12 170   M    M   3 1      16 170
0728  90  71  81   9   0  16 0.08  0.0    0  5.7 25 340   M    M   5 3      29 350
0729  92  67  80   8   0  15 0.02  0.0    0  3.4 21 290   M    M   6 3      26 300
0730  91  71  81   9   0  16 0.32  0.0    0  5.8 26 290   M    M   5 13     37 280
0731  81  65  73   1   0   8 0.01  0.0    0  3.5 10  70   M    M   7        13 210
0801  85  61  73   1   0   8 0.00  0.0    0  2.4 12 320   M    M   3        16 320
0802  86  60  73   1   0   8 0.00  0.0    0  2.4  8  70   M    M   3        16 330
0803  85  66  76   4   0  11 0.81  0.0    0  5.6 17 200   M    M   8 3      22 200
0804  84  62  73   1   0   8    T  0.0    0  4.9 16 280   M    M   5 12     22 280
0805  83  54  69  -3   0   4 0.00  0.0    0  2.3  9 130   M    M   2        12 180
